rebalance_date,cap_redistribution_required,uncapped_l1_to_capped,average_abs_weight_difference,max_abs_weight_difference,capped_assets,uncapped_top3,final_top3
2019-07-01,False,0.0,0.0,0.0,,"LQD:0.215, IEF:0.211, TLT:0.092","LQD:0.215, IEF:0.211, TLT:0.092"
2019-08-01,False,0.0,0.0,0.0,,"LQD:0.214, IEF:0.212, TLT:0.093","LQD:0.214, IEF:0.212, TLT:0.093"
2019-10-01,False,0.0,0.0,0.0,,"LQD:0.215, IEF:0.208, TLT:0.091","LQD:0.215, IEF:0.208, TLT:0.091"
2019-11-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"LQD:0.215, IEF:0.206, TLT:0.090","LQD:0.215, IEF:0.206, TLT:0.090"
2020-04-01,False,0.0,0.0,0.0,,"IEF:0.249, LQD:0.146, GLD:0.114","IEF:0.249, LQD:0.146, GLD:0.114"
2020-05-01,False,0.0,0.0,0.0,,"IEF:0.257, LQD:0.143, GLD:0.115","IEF:0.257, LQD:0.143, GLD:0.115"
2020-06-01,False,0.0,0.0,0.0,,"IEF:0.260, LQD:0.143, GLD:0.115","IEF:0.260, LQD:0.143, GLD:0.115"
2020-07-01,False,1.6653345369377348e-16,1.6653345369377347e-17,5.551115123125783e-17,,"IEF:0.262, LQD:0.144, GLD:0.116","IEF:0.262, LQD:0.144, GLD:0.116"
2020-09-01,False,0.0,0.0,0.0,,"IEF:0.266, LQD:0.145, GLD:0.110","IEF:0.266, LQD:0.145, GLD:0.110"
2020-10-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"IEF:0.269, LQD:0.145, GLD:0.110","IEF:0.269, LQD:0.145, GLD:0.110"
2020-12-01,False,0.0,0.0,0.0,,"IEF:0.270, LQD:0.147, GLD:0.108","IEF:0.270, LQD:0.147, GLD:0.108"
2021-02-01,False,0.0,0.0,0.0,,"IEF:0.272, LQD:0.147, GLD:0.106","IEF:0.272, LQD:0.147, GLD:0.106"
2021-03-01,False,1.734723475976807e-16,1.734723475976807e-17,5.551115123125783e-17,,"IEF:0.270, LQD:0.146, GLD:0.105","IEF:0.270, LQD:0.146, GLD:0.105"
2021-04-01,False,0.0,0.0,0.0,,"IEF:0.269, LQD:0.146, GLD:0.105","IEF:0.269, LQD:0.146, GLD:0.105"
2021-06-01,False,0.0,0.0,0.0,,"IEF:0.271, LQD:0.146, GLD:0.104","IEF:0.271, LQD:0.146, GLD:0.104"
2021-07-01,False,0.0,0.0,0.0,,"IEF:0.271, LQD:0.146, GLD:0.103","IEF:0.271, LQD:0.146, GLD:0.103"
2021-09-01,False,0.0,0.0,0.0,,"IEF:0.269, LQD:0.147, GLD:0.104","IEF:0.269, LQD:0.147, GLD:0.104"
2021-10-01,False,1.734723475976807e-16,1.734723475976807e-17,5.551115123125783e-17,,"IEF:0.268, LQD:0.147, GLD:0.103","IEF:0.268, LQD:0.147, GLD:0.103"
2021-11-01,False,0.0,0.0,0.0,,"IEF:0.267, LQD:0.146, GLD:0.103","IEF:0.267, LQD:0.146, GLD:0.103"
2021-12-01,False,0.0,0.0,0.0,,"IEF:0.263, LQD:0.146, GLD:0.103","IEF:0.263, LQD:0.146, GLD:0.103"
2022-02-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"IEF:0.262, LQD:0.145, GLD:0.103","IEF:0.262, LQD:0.145, GLD:0.103"
2022-03-01,False,0.0,0.0,0.0,,"IEF:0.260, LQD:0.146, GLD:0.104","IEF:0.260, LQD:0.146, GLD:0.104"
2022-04-01,False,0.0,0.0,0.0,,"IEF:0.255, LQD:0.147, GLD:0.104","IEF:0.255, LQD:0.147, GLD:0.104"
2022-06-01,False,0.0,0.0,0.0,,"IEF:0.252, LQD:0.147, GLD:0.106","IEF:0.252, LQD:0.147, GLD:0.106"
2022-07-01,False,0.0,0.0,0.0,,"IEF:0.248, LQD:0.147, GLD:0.108","IEF:0.248, LQD:0.147, GLD:0.108"
2022-08-01,False,0.0,0.0,0.0,,"IEF:0.244, LQD:0.148, GLD:0.109","IEF:0.244, LQD:0.148, GLD:0.109"
2022-09-01,False,0.0,0.0,0.0,,"IEF:0.243, LQD:0.146, GLD:0.110","IEF:0.243, LQD:0.146, GLD:0.110"
2022-11-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"IEF:0.238, LQD:0.146, GLD:0.113","IEF:0.238, LQD:0.146, GLD:0.113"
2022-12-01,False,2.220446049250313e-16,2.2204460492503132e-17,5.551115123125783e-17,,"IEF:0.237, LQD:0.146, GLD:0.113","IEF:0.237, LQD:0.146, GLD:0.113"
2023-02-01,False,1.5265566588595902e-16,1.5265566588595904e-17,2.7755575615628914e-17,,"IEF:0.234, LQD:0.146, GLD:0.113","IEF:0.234, LQD:0.146, GLD:0.113"
2023-03-01,False,0.0,0.0,0.0,,"IEF:0.232, LQD:0.145, GLD:0.114","IEF:0.232, LQD:0.145, GLD:0.114"
2023-05-01,False,2.0816681711721685e-16,2.0816681711721685e-17,5.551115123125783e-17,,"IEF:0.201, LQD:0.170, GLD:0.101","IEF:0.201, LQD:0.170, GLD:0.101"
2023-06-01,False,2.0816681711721685e-16,2.0816681711721685e-17,5.551115123125783e-17,,"IEF:0.197, LQD:0.169, GLD:0.101","IEF:0.197, LQD:0.169, GLD:0.101"
2023-08-01,False,0.0,0.0,0.0,,"IEF:0.191, LQD:0.165, GLD:0.101","IEF:0.191, LQD:0.165, GLD:0.101"
2023-09-01,False,0.0,0.0,0.0,,"IEF:0.188, LQD:0.164, GLD:0.106","IEF:0.188, LQD:0.164, GLD:0.106"
2023-11-01,False,0.0,0.0,0.0,,"IEF:0.184, LQD:0.161, GLD:0.106","IEF:0.184, LQD:0.161, GLD:0.106"
2023-12-01,False,0.0,0.0,0.0,,"IEF:0.181, LQD:0.159, GLD:0.109","IEF:0.181, LQD:0.159, GLD:0.109"
2024-02-01,False,1.8041124150158794e-16,1.8041124150158794e-17,2.7755575615628914e-17,,"IEF:0.179, LQD:0.157, GLD:0.111","IEF:0.179, LQD:0.157, GLD:0.111"
2024-03-01,False,0.0,0.0,0.0,,"IEF:0.177, LQD:0.157, GLD:0.112","IEF:0.177, LQD:0.157, GLD:0.112"
2024-04-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.176, LQD:0.157, GLD:0.112","IEF:0.176, LQD:0.157, GLD:0.112"
2024-05-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.176, LQD:0.157, GLD:0.111","IEF:0.176, LQD:0.157, GLD:0.111"
2024-07-01,False,0.0,0.0,0.0,,"IEF:0.174, LQD:0.156, GLD:0.109","IEF:0.174, LQD:0.156, GLD:0.109"
2024-08-01,False,0.0,0.0,0.0,,"IEF:0.175, LQD:0.156, GLD:0.108","IEF:0.175, LQD:0.156, GLD:0.108"
2024-10-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.175, LQD:0.157, GLD:0.109","IEF:0.175, LQD:0.157, GLD:0.109"
2024-11-01,False,0.0,0.0,0.0,,"IEF:0.175, LQD:0.158, GLD:0.109","IEF:0.175, LQD:0.158, GLD:0.109"
2025-04-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.174, LQD:0.157, GLD:0.106","IEF:0.174, LQD:0.157, GLD:0.106"
2025-05-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.180, LQD:0.162, GLD:0.104","IEF:0.180, LQD:0.162, GLD:0.104"
2025-07-01,False,0.0,0.0,0.0,,"IEF:0.179, LQD:0.162, GLD:0.097","IEF:0.179, LQD:0.162, GLD:0.097"
2025-08-01,False,1.8041124150158794e-16,1.8041124150158794e-17,2.7755575615628914e-17,,"IEF:0.180, LQD:0.162, GLD:0.096","IEF:0.180, LQD:0.162, GLD:0.096"
2025-10-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.182, LQD:0.165, GLD:0.093","IEF:0.182, LQD:0.165, GLD:0.093"
2025-12-01,False,1.8041124150158794e-16,1.8041124150158794e-17,2.7755575615628914e-17,,"IEF:0.182, LQD:0.170, EFA:0.095","IEF:0.182, LQD:0.170, EFA:0.095"
2026-04-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.195, LQD:0.177, TLT:0.093","IEF:0.195, LQD:0.177, TLT:0.093"
2026-05-01,False,1.6653345369377348e-16,1.6653345369377347e-17,2.7755575615628914e-17,,"IEF:0.198, LQD:0.178, TLT:0.094","IEF:0.198, LQD:0.178, TLT:0.094"
2026-06-01,False,0.0,0.0,0.0,,"IEF:0.200, LQD:0.180, TLT:0.095","IEF:0.200, LQD:0.180, TLT:0.095"
2026-07-01,False,0.0,0.0,0.0,,"IEF:0.204, LQD:0.182, TLT:0.096","IEF:0.204, LQD:0.182, TLT:0.096"
2026-09-01,False,0.0,0.0,0.0,,"IEF:0.208, LQD:0.186, TLT:0.098","IEF:0.208, LQD:0.186, TLT:0.098"
